"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
29.850,0.846,-0.14,0.0
29.900,0.839,-0.14,0.0
29.950,0.832,-0.14,0.0
30.000,0.825,-0.14,0.0
30.050,0.819,-0.14,0.0
30.100,0.812,-0.14,0.0
30.150,0.805,-0.14,0.0
30.200,0.798,-0.14,8.6E-5
30.250,0.791,-0.14,0.0
30.300,0.784,-0.14,-3.4E-4
30.350,0.777,-0.14,0.0
30.400,0.770,-0.14,0.0
30.450,0.764,-0.14,0.0
30.500,0.757,-0.14,0.0
30.550,0.750,-0.14,0.0
30.600,0.743,-0.14,0.0
30.650,0.736,-0.14,0.0
30.700,0.729,-0.13,0.0
30.750,0.723,-0.13,0.0
30.800,0.716,-0.13,0.0
30.850,0.709,-0.14,-2.4E-4
30.900,0.703,-0.13,0.0
30.950,0.696,-0.13,0.0
31.000,0.689,-0.13,0.0
31.050,0.682,-0.13,0.0
31.100,0.676,-0.13,0.0
31.150,0.669,-0.13,7.9E-5
31.200,0.662,-0.13,0.0
31.250,0.656,-0.13,0.0
31.300,0.649,-0.13,0.0
31.350,0.642,-0.13,0.0
31.400,0.636,-0.13,0.0
31.450,0.629,-0.13,0.0
31.500,0.623,-0.13,0.0
31.550,0.616,-0.13,0.0
31.600,0.610,-0.13,-6.0E-5
31.650,0.603,-0.13,0.0
31.700,0.597,-0.13,0.0
31.750,0.590,-0.13,0.0
31.800,0.583,-0.13,0.0
31.850,0.577,-0.13,0.0
31.900,0.571,-0.13,0.0
31.950,0.564,-0.13,0.0
32.000,0.558,-0.13,0.0
32.050,0.551,-0.13,0.0
32.100,0.545,-0.13,0.0
32.150,0.538,-0.13,0.0
32.200,0.532,-0.13,0.0
32.250,0.525,-0.13,0.0
32.300,0.519,-0.13,0.0
32.350,0.513,-0.13,0.0
32.400,0.506,-0.13,0.0
32.450,0.500,-0.13,0.0
32.500,0.493,-0.13,0.0
32.550,0.487,-0.13,-3.3E-4
32.600,0.480,-0.13,0.0
32.650,0.474,-0.13,0.0
32.700,0.467,-0.13,0.0
32.750,0.461,-0.13,0.0
32.800,0.455,-0.13,0.0
32.850,0.448,-0.13,-2.5E-4
32.900,0.442,-0.13,0.0
32.950,0.435,-0.13,0.0
33.000,0.429,-0.13,0.0
33.050,0.423,-0.13,0.0
33.100,0.416,-0.13,0.0
33.150,0.410,-0.13,0.0
33.200,0.404,-0.13,0.0
33.250,0.397,-0.13,0.0
33.300,0.391,-0.13,0.0
33.350,0.384,-0.13,0.0
33.400,0.378,-0.13,0.0
33.450,0.372,-0.12,0.0
33.500,0.366,-0.12,0.0
33.550,0.360,-0.12,0.0
33.600,0.353,-0.12,0.0
33.650,0.347,-0.12,0.0
33.700,0.341,-0.12,0.0
33.750,0.335,-0.12,0.0
33.800,0.329,-0.12,0.0
33.850,0.323,-0.12,0.0
33.900,0.317,-0.12,0.0
33.950,0.311,-0.12,0.0
34.000,0.305,-0.12,0.0
34.050,0.299,-0.11,0.0
34.100,0.294,-0.11,0.0
34.150,0.288,-0.11,0.0
34.200,0.283,-0.11,0.0
34.250,0.277,-0.11,0.0
34.300,0.272,-0.11,0.0
34.350,0.267,-0.10,0.0
34.400,0.262,-0.10,0.1
34.450,0.257,-0.10,0.1
34.500,0.252,-0.09,0.1
34.550,0.247,-0.09,0.1
34.600,0.243,-0.08,0.0
34.650,0.239,-0.08,0.0
34.700,0.235,-0.09,0.2
34.750,0.230,-0.08,0.6
34.800,0.226,-0.03,0.9
34.850,0.225,0.03,0.9
34.900,0.231,0.07,0.5
34.950,0.235,0.08,0.2
35.000,0.239,0.07,0.0
35.050,0.241,0.08,0.1
35.100,0.246,0.08,0.1
35.150,0.251,0.09,0.1
35.200,0.255,0.09,0.0
35.250,0.259,0.09,0.0
35.300,0.264,0.09,0.0
35.350,0.269,0.09,0.0
35.400,0.273,0.09,0.0
35.450,0.278,0.09,0.0
35.500,0.283,0.09,0.0
35.550,0.288,0.09,0.0
35.600,0.292,0.09,0.0
35.650,0.297,0.09,0.0
35.700,0.302,0.09,0.0
35.750,0.306,0.10,0.0
35.800,0.311,0.10,0.0
35.850,0.316,0.10,0.0
35.900,0.321,0.09,0.0
35.950,0.325,0.09,0.0
36.000,0.330,0.10,0.0
36.050,0.335,0.10,0.0
36.100,0.340,0.10,0.0
36.150,0.345,0.10,0.0
36.200,0.349,0.09,0.0
36.250,0.354,0.09,0.0
36.300,0.359,0.10,0.0
36.350,0.364,0.10,0.0
36.400,0.368,0.10,1.6E-4
36.450,0.373,0.10,0.0
36.500,0.378,0.10,0.0
36.550,0.383,0.09,0.0
36.600,0.387,0.09,0.0
36.650,0.392,0.09,-4.2E-5
36.700,0.397,0.09,0.0
36.750,0.401,0.09,0.0
36.800,0.406,0.09,0.0
36.850,0.411,0.09,0.0
36.900,0.416,0.09,0.0
36.950,0.420,0.09,0.0
37.000,0.425,0.10,0.0
37.050,0.430,0.09,0.0
37.100,0.435,0.09,-1.9E-4
37.150,0.439,0.09,0.0
37.200,0.444,0.10,0.0
37.250,0.448,0.09,0.0
37.300,0.453,0.09,0.0
37.350,0.458,0.09,0.0
37.400,0.463,0.09,0.0
37.450,0.467,0.10,0.0
